GeneIndex,Weight
655; -0,978749
656; -0,05959785
657; -0,7215157
658; 0,8242648
659; 0,1144656
660; -0,799386
661; -0,3271962
662; 0,07922924
663; -0,9786255
664; 0,08595335
665; -0,7226288
666; -0,6159182
667; 0,4703862
668; -0,6076276
669; -0,2308191
670; -0,9017346
671; -0,8633022
672; -0,5303357
673; -0,3324445
674; -0,8050978
675; -0,2425081
676; 0,9568446
677; 0,8577423
678; -0,4865261
679; 0,03163207
680; 0,03766596
681; -0,515074
682; 0,4990415
683; 0,6711214
684; -0,9548225
685; -0,2660607
686; -0,689348
687; 0,4745722
688; 0,1093334
689; -0,6530635
690; 0,7937422
691; 0,4401366
692; 0,3345377
693; -0,3293878
694; 0,1389352
695; -0,155238
696; 0,2793553
697; -0,2204632
698; 0,4299035
699; -0,0768925
700; 0,8099072
701; 0,9457331
702; -0,898596
703; -0,8118806
704; -0,3575425
705; 0,2529481
706; -0,6008854
707; 0,1286546
708; -0,8451369
709; 0,0196141
710; 0,990545
711; 0,353347
712; -0,9690423
713; -0,7945762
714; 0,2177471
715; 0,2311231
716; -0,9538696
717; 0,4247639
718; 0,5931826
719; -0,1881193
720; -0,1698397
721; 0,199783
722; 0,9362173
723; -0,08903205
724; 0,2263101
725; 0,5516045
726; -0,5644274
727; 0,4503133
728; -0,6126809
729; 0,4960842
730; -0,2270936
731; 0,0337683
732; -0,873939
733; -0,8609858
734; -0,09389031
735; 0,3104653
736; -0,9930515
737; 0,8847775
738; -0,1892089
739; 0,6346982
740; 0,8425956
741; 0,9274676
742; 0,3284659
743; -0,3015703
744; -0,6011567
745; 0,4672649
746; -0,7425499
747; -0,05012214
748; -0,7024355
749; -0,439088
750; 0,8783448
751; 0,1027592
752; -0,3169509
753; 0,5272436
754; -0,08449805
755; -0,6528244
756; 0,9118433
757; 0,07948029
758; -0,06470263
759; 0,5311215
760; -0,05794806
761; -0,2398854
762; -0,344627
763; -0,8265064
764; -0,3925582
765; 0,7487931
766; -0,7760372
767; 0,8184481
768; 0,6311603
769; -0,6200871
770; -0,1390134
771; 0,05584633
772; -0,6031213
773; -0,4921414
774; -0,5155029
775; 0,2867207
776; -0,0604285
777; 0,4061379
778; 0,5863774
779; -0,09722626
780; 0,9906054
781; -0,6020656
782; 0,6266451
783; 0,3488601
784; -0,6591797
785; 0,8478765
786; 0,5086889
787; -0,6535207
788; -0,3501314
789; -0,4110874
790; 0,2149078
791; -0,2194308
792; -0,5454419
793; -0,2345093
794; 0,4618804
795; 0,7836559
796; -0,05077183
797; 0,8306649
798; -0,05397379
799; 0,5751104
800; -0,8332894
801; 0,757252
802; 0,6998272
803; -0,1240629
804; 0,4983718
805; -0,9913886
806; -0,5204968
807; -0,7383981
808; -0,2758287
809; -0,2539541
810; 0,6645489
811; 0,06515157
812; 0,2657292
813; -0,07857215
814; -0,8783901
815; 0,002538562
816; -0,2497531
817; -0,8270373
818; -0,4252077
819; 0,3635728
820; 0,07209122
821; 0,2270299
822; 0,4106097
823; 0,6263988
824; -0,0536989
825; 0,1664934
826; -0,02742827
827; 0,1726702
828; 0,3791057
829; 0,1621853
830; 0,2641973
831; -0,4071149
832; 0,08349001
833; 0,7469828
834; 0,4537973
835; 0,879688
836; 0,7927091
837; 0,5917544
838; 0,2279888
839; 0,6706092
840; 0,5601945
841; 0,6634774
842; 0,1081399
843; -0,5027306
844; -0,07237542
845; 0,3011093
846; 0,9570367
847; -0,3296515
848; -0,3184801
849; 0,03658807
850; 0,7533131
851; -0,9876466
852; 0,005451322
853; -0,8196619
854; 0,1214072
855; -0,5171769
856; -0,7385259
857; -0,7600913
858; -0,2456864
859; 0,2363058
860; 0,2429949
861; 0,6048248
862; 0,5650601
863; -0,4336039
864; 0,7753849
865; -0,9897127
866; -0,7243073
867; 0,3312046
868; -0,3287224
869; -0,09871829
870; 0,7091093
871; 0,01578701
872; 0,116223
873; -0,6217568
874; -0,2680367
875; 0,9963496
876; -0,03385776
877; 0,2530853
878; 0,3113517
