Generation,Fitness
14,-0,66
14,-0,2627985
14,-0,8
14,-0,6
14,-0,62
14,-0,43
14,-0,8
14,-0,63
14,0,3146124
14,-0,28
14,-0,18
14,-0,79
14,-0,26
14,-0,61
14,-0,78
14,-0,61
14,-0,8
14,-0,008468343
14,-0,58
14,-0,63
14,-0,75
14,-0,72
14,-0,33
14,-0,59
14,-0,69
14,-0,64
14,-0,66
14,-0,63
14,-0,1222189
14,0,3261397
14,-0,52
14,-0,64
14,-0,47
14,0,2678359
14,0,03334846
15,0,2789485
15,0,2308041
15,0,1822191
15,0,2178977
15,0,2054564
15,-0,02
15,0,2077963
15,0,2538275
15,0,2437057
15,0,1345632
15,0,2617992
15,-0,01
15,0,013219
15,-0,02
15,0,2519152
15,0,2559634
15,0,1713087
15,-0,02
15,-0,01483591
15,0,2355514
15,0,2448675
15,0,207692
15,0,2879258
15,0
15,-0,02
15,0,2787184
15,0,240143
15,0,2227924
15,0,2246082
15,-0,01
15,0,1813754
15,-0,01
15,0,2215529
15,0,2221952
15,0,1783032
15,0,2596415
15,0,3083177
15,0,2713134
15,0,2292946
15,0,2364645
15,0,2222816
15,0,2809811
15,0,07522901
15,-0,02
15,0,2303096
15,0,247201
15,0,2296622
15,-0,01
15,0,1397156
15,-0,02
15,0,2394406
15,0,2397655
15,0,2216699
15,-0,007582376
15,0,2781924
15,0,2389098
15,0,2649506
15,0,1696117
15,0,2215068
15,0,2632246
16,0,3584126
16,0,2825066
16,0,4462076
16,0,2744337
16,0,4530254
16,0,3979025
16,0,4394493
16,0,4137544
16,0,4246426
16,0,4118638
16,0,4425996
16,0,3033052
16,0,4202582
16,0,3852076
16,0,3259389
16,0,3736537
16,0,6054238
16,0,4101586
16,0,3280421
16,0,4351526
16,0,4251436
16,0,2650732
16,0,4000369
16,0,4101807
16,0,3547154
16,0,2098144
16,0,4561946
16,0,5228592
16,0,3898028
16,0,2217378
16,0,323454
16,0,3459293
16,0,2337339
16,0,5684448
16,0,3470464
16,0,5645829
16,0,3995408
16,0,4601061
16,0,3810006
16,0,3598871
16,0,4073784
16,0,4253515
16,0,3622755
16,0,3257593
16,0,4601344
16,0,4322354
16,0,5003172
16,0,2495801
16,0,4136176
16,0,352638
16,0,2848377
16,0,4670789
16,0,4731843
16,0,3696772
16,0,4256578
16,0,3757231
16,0,3359368
16,0,5657015
16,0,4984342
16,0,5677686
17,0,3429425
17,0,2461137
17,0,2416542
17,0,2420573
17,0,3453962
17,0,292583
17,0,358724
17,0,260614
17,0,2261807
17,0,2516298
17,0,345133
17,0,2559041
17,0,3170746
17,0,2793097
17,0,2222912
17,0,2342957
17,0,3774352
17,0,3330528
17,0,3678358
17,0,2555637
17,0,2851655
17,0,2783325
17,0,3139746
17,0,2658795
17,0,304957
17,0,2466661
17,0,2652353
17,0,2409945
17,0,2837175
17,0,2805559
17,0,3356656
17,0,2230301
17,0,2357584
17,0,3333105
17,0,3460035
17,0,224725
17,0,3501112
17,0,3104746
17,0,2867808
17,0,3260372
17,0,3708877
17,0,2907488
17,0,221813
17,0,3089036
17,0,2607696
17,0,2875177
17,0,2705787
17,0,2591876
17,0,3693966
17,0,3521633
17,0,24818
17,0,336677
17,0,2364982
17,0,292917
17,0,3439941
17,0,2739956
17,0,2293793
17,0,2996159
17,0,3107597
17,0,2652413
18,0,368552
18,0,378081
18,0,4641553
18,0,407339
18,0,3730888
18,0,40483
18,0,4135639
18,0,4069136
18,0,4353217
18,0,3887884
18,0,387499
18,0,4262987
18,0,3800566
18,0,3959848
18,0,4074094
18,0,4103456
18,0,3527097
18,0,4537147
18,0,4212072
18,0,3747427
18,0,4276034
18,0,3858653
18,0,3994114
18,0,3830792
18,0,4175224
18,0,4224954
18,0,4097769
18,0,3975897
18,0,4083036
18,0,4484072
18,0,3823211
18,0,3751759
18,0,4004282
18,0,3994685
18,0,3893734
18,0,3659574
18,0,3863452
18,0,3924899
18,0,4323339
18,0,3921082
18,0,4052459
18,0,4552958
18,0,4102372
18,0,3899567
18,0,4100143
18,0,3930105
18,0,3497489
18,0,3689997
18,0,4263039
18,0,4076177
18,0,4182898
18,0,4129134
18,0,4114026
18,0,4395304
18,0,4094723
18,0,4067053
18,0,4277962
18,0,4145038
18,0,4056422
18,0,3876082
19,0,3348372
19,0,284321
19,0,3261089
19,0,3083981
19,0,319995
19,0,2732973
19,0,3205337
19,0,3303037
19,0,348445
19,0,3346298
19,0,2908625
19,0,3200417
19,0,3170866
19,0,3190675
19,0,2946228
19,0,3222653
19,0,3432339
19,0,2627795
19,0,3097379
19,0,3336492
19,0,3782263
19,0,323482
19,0,3747294
19,0,3233877
19,0,310355
19,0,3290772
19,0,303841
19,0,2522663
19,0,2569463
19,0,2935679
19,0,2790283
19,0,3995429
19,0,3159375
19,0,2867833
19,0,3516173
19,0,3274704
19,0,3101957
19,0,3222474
19,0,2634978
19,0,3120651
19,0,2880787
19,0,3081332
19,0,347356
19,0,2993327
19,0,2882265
19,0,3435767
19,0,3202759
19,0,3255697
19,0,2760276
19,0,2920454
19,0,2681082
19,0,29422
19,0,2942138
19,0,2783327
19,0,3212138
19,0,3028622
19,0,2986676
19,0,2663541
19,0,3122829
19,0,3113188
20,0,1051043
20,0,4246725
20,0,1984321
20,0,1759481
20,0,3095713
20,0,24249
20,0,222888
20,0,4213904
20,0,3727582
20,0,3002548
20,0,290172
20,0,3000828
20,0,32138
20,-0,01565641
20,0,2090623
20,0,2674463
20,0,2612972
20,0,05166453
20,-0,01129286
20,0,2694334
20,0,1740105
20,0,08414381
20,0,3775825
20,0,3867052
20,0,3963303
20,0,2550724
20,0,2907068
20,0,3303301
20,0,380517
20,0,2235809
20,0,3732615
20,0,409942
20,0,3242245
20,0,2829057
20,0,3466533
20,-0,1611547
20,0,1026234
20,0,2877867
20,0,2193532
20,0,2809096
20,0,3320107
20,0,2111124
20,0,2327073
20,0,2082116
20,0,2309855
20,0,1970883
20,0,2786576
20,0,4174451
20,0,4245497
20,0,0304036
20,0,2718853
20,0,2720757
20,0,1558111
20,0,2917915
20,0,266482
20,0,3576709
20,0,2163074
20,0,3040126
20,0,3281585
20,0,347514
21,0,6964247
21,0,3402471
21,0,3481875
21,0,2028871
21,0,5256962
21,0,4188306
21,0,4859833
21,0,4663498
21,0,3830753
21,-0,063627
21,0,3055224
21,0,3972932
21,0,6093454
21,0,4402629
21,-0,2146478
21,0,4461844
21,-0,2088746
21,0,4224076
21,0,5486372
21,-0,2572073
21,0,1602251
21,0,6699183
21,0,6171151
21,0,4602817
21,0,6135205
21,-0,1367055
21,-0,1370391
21,0,2461293
21,0,4833721
21,-0,2286283
21,0,5550958
21,0,5148764
21,0,3166249
21,0,2314889
21,0,3845122
21,0,02346678
21,0,3668102
21,0,2497553
21,0,2001259
21,0,4439919
21,0,361015
21,0,3814424
21,0,4571694
21,0,3655831
21,0,4572909
21,0,5646468
21,0,3535774
21,0,5125237
21,0,5513347
21,0,4006163
21,0,3348331
21,0,4825272
21,0,3960643
21,-0,6415265
21,0,6472923
21,0,509132
21,0,3465137
21,0,5915495
21,0,3427637
21,0,529278
22,0,3100072
22,0,3095109
22,-0,6691923
22,-0,1745023
22,0,3730846
22,-0,2466344
22,0,4804424
22,-0,6898682
22,0,3225294
22,0,05188093
22,0,256561
22,0,2501061
22,0,3677841
22,-0,2631662
22,0,2713005
22,-0,1209681
22,-0,59768
22,-0,4392295
22,-0,6893606
22,0,09772084
22,0,2109059
22,0,07488932
22,0,2301084
22,0,2386071
22,0,2168369
22,0,1092983
22,-0,6413655
22,-0,07846154
22,0,1922913
22,-0,6614962
22,-0,5539482
22,0,3078877
22,0,3166665
22,-0,648915
22,0,282141
22,-0,1137816
22,-0,5944978
22,-0,6512162
22,-0,6708795
22,-0,3799758
22,-0,05781637
22,0,2580045
22,-0,4772632
22,0,2142509
22,0,2707096
22,0,2502696
22,0,2582311
22,0,2934107
22,-0,5121567
22,0,281844
22,0,3026865
22,0,3484782
22,0,4106762
22,0,3095451
22,0,4144637
22,-0,1532962
22,0,367574
22,0,04169882
22,14,25278
22,-0,6509501
23,0,1315343
23,0,1053532
23,0,1341596
23,0,0809781
23,0,101774
23,0,06364036
23,0,1075268
23,0,07889742
23,0,2541749
23,0,08831465
23,0,1209501
23,0,09654975
23,0,1481416
23,0,0714581
23,0,1914771
23,0,07898134
23,0,09848273
23,0,07856339
23,0,1100734
23,0,09241647
23,0,2032852
23,0,1205708
23,0,143858
23,0,08682853
23,0,09111267
23,0,123283
23,0,09185988
23,0,112572
23,0,1083823
23,0,07827497
23,0,1518718
23,0,07538831
23,0,1039889
23,0,06826246
23,0,1056761
23,0,07393539
23,0,1692799
23,0,08412814
23,0,1167425
23,0,05730319
23,0,1492203
23,0,1083848
23,0,1376519
23,0,0725438
23,0,08207792
23,0,09447408
23,0,1029446
23,0,09153932
23,0,3124227
23,0,0783
23,0,1074429
23,0,1032631
23,0,08014601
23,0,07154709
23,0,09529859
23,0,08651191
23,0,1686535
23,0,1065384
23,0,1092066
23,0,07028407
24,-0,07
24,0,136603
24,-0,08
24,-0,7
24,-0,01
24,-0,04
24,-0,09
24,0
24,-0,05
24,0
24,-0,13
24,-0,03
24,-0,09
24,-0,72
24,-0,07
24,-0,73
24,0
24,-0,74
24,-0,11
24,-0,08
24,-0,14
24,-0,03
24,-0,37
24,-0,03
24,-0,03
24,0
24,-0,65
24,-0,58
24,-0,09999999
24,-0,79
24,0
24,0
24,0
24,-0,05
24,-0,5
24,-0,72
24,0
24,-0,52
24,0
24,-0,09
24,0
24,0
24,-0,05
24,-0,05
24,-0,09999999
24,-0,06
24,0
24,0
24,-0,11
24,-0,02
24,-0,93
24,0
24,-0,09
24,0
24,-0,53
24,0
24,-0,09999999
24,-0,02
24,-0,11
24,-0,03
25,0,7441751
25,0,7833675
25,0,7181061
25,0,7524959
25,0,7545247
25,0,7486535
25,0,6405724
25,0,6854848
25,0,7380699
25,0,7374535
25,0,7913572
25,0,7297581
25,0,7287612
25,0,686777
25,0,7603691
25,0,8454152
25,0,7771807
25,0,7038567
25,0,7284812
25,0,7247295
25,0,7714615
25,0,7548028
25,0,7664676
25,0,7610515
25,0,7441096
25,0,7196572
25,0,6788999
25,0,7218314
25,0,6918666
25,0,7602903
25,0,7284439
25,0,7098848
25,0,7057209
25,0,7449008
25,0,7712711
25,0,7311296
25,0,7009903
25,0,7322413
25,0,7271994
25,0,7499973
25,0,7411165
25,0,7798789
25,0,7085003
25,0,7243615
25,0,7794582
25,0,736993
25,0,7254912
25,0,7475929
25,0,7295531
25,0,818857
25,0,7394202
25,0,7465723
25,0,7594476
25,0,7499499
25,0,7405349
25,0,6401098
25,0,7717818
25,0,6983951
25,0,7353851
25,0,7273318
26,0,7017073
26,0,7472312
26,0,8505588
26,0,5116268
26,0,6071079
26,0,5496771
26,0,8090244
26,0,6838173
26,0,6911063
26,0,6897528
26,0,641418
26,0,6476729
26,0,6840567
26,0,8743087
26,0,8984441
26,0,7690854
26,0,7709035
26,0,7581199
26,0,7789912
26,0,8359592
26,0,830524
26,0,6488129
26,0,8372894
26,0,6704302
26,0,7468387
26,0,7331861
26,0,9095266
26,0,3809176
26,0,6899579
26,0,1743352
26,0,4595892
26,0,7924637
26,0,8690968
26,0,6067897
26,0,5144125
26,0,2224786
26,0,6776819
26,0,7369335
26,0,7799496
26,0,7654399
26,0,7447898
26,0,5794431
26,0,8088695
26,0,6528609
26,0,8698535
26,0,7669488
26,0,8473788
26,0,633377
26,0,765488
26,0,692835
26,0,8506221
26,0,7754467
26,0,7419997
26,0,6124499
26,0,77018
26,0,7407281
26,0,8478007
26,0,6528122
26,0,1419677
26,0,5232828
27,0
27,-0,41
27,0
27,-0,27
27,-1,02
27,-0,33
27,-0,89
27,0
27,-0,96
27,-1,02
27,-1
27,-0,9899999
27,-0,71
27,-1,01
27,-0,95
27,0
27,-1,01
27,-0,4
27,0
27,-0,46
27,-1,01
27,-0,93
27,-0,41
27,-0,9
27,0
27,-1,03
27,-0,97
27,0
27,-0,25
27,-0,92
27,0
27,0
27,0
27,0
27,-0,9899999
27,0
27,0
27,0
27,-0,98
27,-0,92
27,-0,9899999
27,-1,03
27,-0,89
27,0
27,-1,01
27,0
27,-0,39
27,-0,45
27,0
27,-0,89
27,0
27,-1,02
27,0
27,-0,35
27,-0,94
27,-0,33
27,-1
27,-0,93
27,-0,21
27,-0,85
28,0,2812885
28,0,2973933
28,0,2926246
28,0,2342216
28,0,2487652
28,0,284313
28,0,3050595
28,0,2850097
28,0,292014
28,0,1605637
28,0,2772744
28,0,1871488
28,0,3000549
28,0,3179543
28,0,2642502
28,0,2750622
28,0,2327219
28,0,2436371
28,0,2766149
28,0,3022273
28,0,288677
28,0,2380154
28,0,212519
28,0,2638536
28,0,2980939
28,0,2764378
28,0,2150064
28,0,2052169
28,0,2101974
28,0,179993
28,0,3112713
28,0,3026101
28,0,2970851
28,0,2698182
28,0,2782596
28,0,2248279
28,0,2710298
28,0,2970703
28,0,305298
28,0,2387839
28,0,2952755
28,0,2263823
28,0,3047149
28,0,2962797
28,0,2612193
28,0,2497825
28,0,2449629
28,0,2782639
28,0,3196445
28,0,2279458
28,0,242097
28,0,2089357
28,0,2592404
28,0,2394152
28,0,2996829
28,0,29563
28,0,3234057
28,0,2178004
28,0,2865044
28,0,2990199
29,0
29,0
29,0
29,0
29,0
29,0
29,0
29,0
29,0
29,0
29,0
29,0
29,0
29,0
29,-0,24
29,0
29,-0,18
29,0
29,0
29,-0,05
29,0
29,0
29,0
29,0
29,0
29,0
29,0
29,0
29,-0,02
29,0
29,0
29,0
29,0
29,0
29,0
29,0
29,-0,45
29,0
29,0
29,0
29,-0,23
29,0
29,0
29,0
29,-0,67
29,0
29,-0,85
29,0
29,0
29,0
29,0
29,0
29,-0,07
29,0
29,0
29,0
29,0
29,0
29,0
29,0
30,0,7914882
30,0,8521205
30,0,7967627
30,0,7861786
30,0,7300229
30,0,8904962
30,0,7583662
30,0,8889952
30,0,8939312
30,0,7435662
30,0,8076134
30,0,8238595
30,0,7474772
30,0,8363011
30,0,6082212
30,0,8368641
30,0,7445931
30,0,8512539
30,0,7537396
30,0,7903581
30,0,679446
30,0,8036379
30,0,8071791
30,0,8377899
30,0,7478362
30,0,8065744
30,0,8554901
30,0,7982461
30,0,8004155
30,0,6660966
30,0,7442442
30,0,7882432
30,0,6558504
30,0,7690916
30,0,7766658
30,0,7189413
30,0,8104042
30,0,8465137
30,0,8357807
30,0,6802723
30,0,6096255
30,0,7657676
30,0,6990244
30,0,7026291
30,0,7811719
30,0,5507486
30,0,7901465
30,0,8867484
30,0,8465218
30,0,7903742
30,0,718286
30,0,759469
30,0,8090841
30,0,7199053
30,0,8937922
30,0,9033211
30,0,8620527
30,0,8095734
30,0,5274251
30,0,7811382
31,0,1779391
31,0,1885384
31,0,226629
31,0,1665494
31,0,1468555
31,0,1954809
31,0,1752661
31,0,177992
31,0,2013834
31,0,2417562
31,0,2210421
31,0,1801676
31,0,2641403
31,0,2269503
31,0,1430062
31,0,1593725
31,0,2300936
31,0,1990598
31,0,3090889
31,0,1746657
31,0,1729017
31,0,1582969
31,0,2444219
31,0,1973211
31,0,1782737
31,0,162048
31,0,2313774
31,0,1885593
31,0,2480771
31,0,1748081
31,0,3088735
31,0,1916239
31,0,1827953
31,0,1817042
31,0,2510573
31,0,198127
31,0,1939117
31,0,2038716
31,0,1659496
31,0,2255998
31,0,2029165
31,0,1671074
31,0,3212612
31,0,2150672
31,0,1989081
31,0,1524945
31,0,2248126
31,0,1899592
31,0,2648643
31,0,2187849
31,0,2299877
31,0,2162285
31,0,1944073
31,0,203176
31,0,2073083
31,0,1981212
31,0,2435316
31,0,1384591
31,0,2399968
31,0,2256995
32,0,595696
32,0,5934309
32,0,6414827
32,0,56321
32,0,6008283
32,0,6500176
32,0,6272038
32,0,5956473
32,0,7205279
32,0,6482095
32,0,6448206
32,0,7330567
32,0,7043355
32,0,6313847
32,0,6202785
32,0,6312908
32,0,6632389
32,0,6590539
32,0,6543432
32,0,6109684
32,0,5957605
32,0,6062799
32,0,6503936
32,0,618276
32,0,5731583
32,0,5742638
32,0,541914
32,0,6383991
32,0,6111413
32,0,602363
32,0,6347548
32,0,6368423
32,0,6455044
32,0,6010128
32,0,6187338
32,0,6389599
32,0,628143
32,0,6450092
32,0,6451063
32,0,6095157
32,0,6567147
32,0,6745723
32,0,5894516
32,0,6035839
32,0,6768494
32,0,6694362
32,0,600799
32,0,7672438
32,0,6057608
32,0,6118563
32,0,5713183
32,0,6149995
32,0,6162555
32,0,8205521
32,0,6068283
32,0,7820355
32,0,6405326
32,0,6396025
32,0,6223246
32,0,5483354
33,-0,03
33,-0,22
33,0
33,-0,06
33,0
33,0
33,0
33,0
33,0
33,-0,49
33,-0,05
33,0
33,-0,04
33,0
33,0
