Generation;Fitness
9;0,3981907
9;0,2205309
9;0,07857024
9;0,3857865
9;0,1371515
9;0,5250646
9;0,2647476
9;0,2504067
9;0,3553418
9;-0,01383425
9;0,261909
9;0,26211
10;-0,47
10;0,0974447
10;0,1633717
10;-0,38
10;0,3078502
10;0,09927587
10;0,1158258
10;0,05439156
10;0,1566923
10;0,2431509
10;-0,04
10;0,2567904
10;-0,07
10;-0,16
10;0,1160382
10;0,09189014
10;0,1045492
10;0,3051406
10;0,1053127
10;0,1552767
10;0,02857842
10;-0,1369941
10;-0,07147573
10;0
10;0
10;-0,05747266
10;0,2122045
10;-0,28
10;0,03221291
10;0,04976785
10;0,3039882
10;0,2377203
10;0
10;0
10;-0,07458915
10;0,2634822
10;0,2533926
10;-0,1564338
10;0,06156104
10;-0,08365777
10;-0,28
10;0,2654171
10;0
10;0,04922944
10;0,09858577
10;0,01290972
10;-0,4186049
10;0,02771446
10;0,1232228
10;0,1742387
10;0,220929
10;-0,12
10;0,3479031
10;-0,16
10;0,05856943
10;0,06302643
10;0,1460496
10;0,2804841
10;-0,1597189
10;0,1755114
11;15,41742
11;-0,22
11;0,893132
11;0,9457875
11;0,3756434
11;0,2261342
11;0,4656044
11;15,29648
11;0,03607666
11;0,2835353
11;0,5806493
11;0,5091442
11;0,05817133
11;-0,06
11;0,5219396
11;0,006873548
11;0,3459294
11;0,3095337
11;-0,2651457
11;0,357868
11;0,05244827
11;0,13795
11;-0,4409292
11;0
11;0
11;-0,03
11;0,1908498
11;0,4393598
11;0,3555973
11;0,2629316
11;0,4180596
11;0,4097684
11;0,07648259
11;0,0641883
11;-0,13
11;0,170975
11;-0,01
11;-0,33
11;0,4696198
11;0,4911409
11;0,3833161
11;15,56137
11;-0,17
11;-0,01084885
11;0,1032604
11;-0,08
11;0,2983219
11;0,2579332
11;0,4086043
11;-0,03
11;0,4404687
11;-0,09999999
11;0,3939582
11;0,09842402
11;0,2230762
11;0,3613967
11;0,8995745
11;-0,1835734
11;0,1797442
11;0,2662702
12;0,5834032
12;0,4044846
12;0,03685777
12;0,8957928
12;0,6690739
12;0,3996944
12;0,3812401
12;0,6708282
12;0,8729855
12;0,1212272
12;0,5721772
12;-0,08761519
12;0,4446194
12;0,2199875
12;0,082713
12;15,706
12;0,3050633
12;15,60641
12;0,3522418
12;-0,2416112
12;0,229603
12;0,8941609
12;0,2980547
12;15,56681
12;15,76138
12;0,4472838
12;0,6892712
12;0,3119497
12;0,5622073
12;0,717991
12;-0,1253497
12;0,3964913
12;-0,1561794
12;15,74624
12;0,3481022
12;0,8140656
12;15,81798
12;0,02456345
12;-0,2431046
12;-0,2559321
12;0,4301551
12;15,51257
12;0,6758657
12;0,6732235
12;0,713129
12;15,5887
12;0,01930076
12;15,5044
12;0,4416378
12;0,5166848
12;15,73104
12;0,09804122
12;0,7907462
12;0,8481801
12;0,2675848
12;0,1544426
12;-0,3587294
12;15,65891
12;0,3419366
12;0,7455419
13;0,5760708
13;-0,2
13;-0,16
13;-0,59
13;0
13;-0,09
13;-0,21
13;-0,03
13;0
13;-0,12
13;-0,04
13;-0,01
13;0,6062974
13;0,3886694
13;-0,3
13;0
13;-0,16
13;-0,02
13;-0,06
13;-0,11
13;-0,13
13;-0,00897008
13;-0,04
13;-0,01
13;0,5248329
13;0,06739242
13;-0,21
